plotID	type	date	precipitation_radolan	precipitation_radolan_rain_days	SD_Olivieri	SM_10	SM_20	Ta_10	Ta_200	Ta_200_cold_days	Ta_200_cool_days	Ta_200_growing_degree_days_10	Ta_200_ice_days	Ta_200_min	Ta_200_max	Ta_200_summer_days	Ta_200_tropical_days	Ta_200_tropical_nights	Ta_200_warm_days	Ts_05	Ts_10	Ts_20	Ts_50	WD	WV	WV_gust	Ta_200_max_raw	Ta_200_min_raw
AEG03	cowManure	16/08/2022	NA	NA	NA	23.26896	20.20229	20.81292	19.04875	0	0	9.9	0	11.64	28.16	1	0	0	1	19.65542	19.40667	18.93042	17.9625	NA	NA	NA	28.16	11.64
AEG03	cowManure	17/08/2022	NA	NA	NA	22.79729	20.13854	21.12833	20.05542	0	0	9.89	0	14.2	25.58	1	0	0	1	19.45416	19.34958	18.98625	17.97042	NA	NA	NA	25.58	14.2
AEG03	cowManure	18/08/2022	NA	NA	NA	27.94833	20.11396	19.53917	17.66708	0	0	8.195	0	14.29	22.1	0	0	0	1	19.72583	19.55458	19.15	18.01958	NA	NA	NA	22.1	14.29
AEG03	cowManure	19/08/2022	NA	NA	NA	42.70229	23.50751	16.31542	14.98542	0	0	5.21	0	14.34	16.08	0	0	0	0	18.10167	18.39167	18.63833	17.98667	NA	NA	NA	16.08	14.34
AEG03	cowManure	20/08/2022	NA	NA	NA	42.81125	28.895	17.63209	16.52083	0	0	7.56	0	13	22.12	0	0	0	1	18.36167	18.29333	18.12416	17.65792	NA	NA	NA	22.12	13
AEG03	cowManure	21/08/2022	NA	NA	NA	41.16291	29.40312	17.19542	16.88416	0	0	7.985	0	11.09	24.88	0	0	0	1	17.98	18	17.95625	17.50792	NA	NA	NA	24.88	11.09
AEG03	cowManure	22/08/2022	NA	NA	NA	39.74708	29.51145	17.86042	17.58208	0	0	8	0	11.11	24.89	0	0	0	1	18.04208	17.9875	17.83	17.37458	NA	NA	NA	24.89	11.11
AEG03	cowManure	23/08/2022	NA	NA	NA	38.19312	29.43646	18.6675	18.3275	0	0	8.445	0	10.32	26.57	1	0	0	1	18.13583	18.06417	17.86375	17.31625	NA	NA	NA	26.57	10.32
AEG03	cowManure	24/08/2022	NA	NA	NA	36.37437	29.23646	18.93667	18.86458	0	0	8.82	0	11.71	25.93	1	0	0	1	18.115	18.0625	17.88375	17.29959	NA	NA	NA	25.93	11.71
AEG03	cowManure	25/08/2022	NA	NA	NA	34.45021	28.98583	20.93833	19.6825	0	0	10.535	0	13.53	27.54	1	0	0	1	18.97167	18.71875	18.19208	17.36834	NA	NA	NA	27.54	13.53
